tri,vertex,x,y,z,fault_name
140,a,-76730.9636340844,3381235.4219344864,-10005.0,gurla
140,b,-73077.4601654524,3381277.2699558525,-5552.0,gurla
140,c,-76072.2800320425,3378253.940000735,-9525.0,gurla
140,m,-75293.56794385977,3380255.543963691,-8360.666666666666,gurla
141,a,-82392.6512744353,3378857.447374359,-20076.0,gurla
141,b,-80346.5236011337,3382259.811803279,-15057.0,gurla
141,c,-79051.0576563369,3378606.8381775925,-15144.0,gurla
141,m,-80596.74417730197,3379908.0324517437,-16759.0,gurla
142,a,-66986.766439658,3377196.31436382,-969.0,gurla
142,b,-60477.5347570256,3380782.5342435366,4619.0,gurla
142,c,-59968.525570283,3378888.845874719,4664.0,gurla
142,m,-62477.6089223222,3378955.898160692,2771.3333333333335,gurla
143,a,-80346.5236011337,3382259.811803279,-15057.0,gurla
143,b,-76730.9636340844,3381235.4219344864,-10005.0,gurla
143,c,-79051.0576563369,3378606.8381775925,-15144.0,gurla
143,m,-78709.51496385167,3380700.690638453,-13402.0,gurla
144,a,-83632.8043878656,3382364.716260667,-20418.0,gurla
144,b,-80346.5236011337,3382259.811803279,-15057.0,gurla
144,c,-82392.6512744353,3378857.447374359,-20076.0,gurla
144,m,-82123.99308781153,3381160.658479435,-18517.0,gurla
145,a,-73077.4601654524,3381277.2699558525,-5552.0,gurla
145,b,-67556.2113617908,3380815.4386058054,-805.0,gurla
145,c,-72459.4647283818,3378475.1329862094,-5176.0,gurla
145,m,-71031.04541854167,3380189.2805159558,-3844.3333333333335,gurla
146,a,-67556.2113617908,3380815.4386058054,-805.0,gurla
146,b,-60477.5347570256,3380782.5342435366,4619.0,gurla
146,c,-66986.766439658,3377196.31436382,-969.0,gurla
146,m,-65006.83751949146,3379598.0957377204,948.3333333333334,gurla
147,a,-76730.9636340844,3381235.4219344864,-10005.0,gurla
147,b,-73691.8448082227,3384138.26098525,-5010.0,gurla
147,c,-73077.4601654524,3381277.2699558525,-5552.0,gurla
147,m,-74500.08953591983,3382216.984291863,-6855.666666666667,gurla
148,a,-73077.4601654524,3381277.2699558525,-5552.0,gurla
148,b,-68065.3703668007,3383643.6123005194,-725.0,gurla
148,c,-67556.2113617908,3380815.4386058054,-805.0,gurla
148,m,-69566.34729801463,3381912.106954059,-2360.6666666666665,gurla
149,a,-80346.5236011337,3382259.811803279,-15057.0,gurla
149,b,-77771.2769557766,3384708.85570542,-10064.0,gurla
149,c,-76730.9636340844,3381235.4219344864,-10005.0,gurla
149,m,-78282.92139699822,3382734.6964810616,-11708.666666666666,gurla
150,a,-77771.2769557766,3384708.85570542,-10064.0,gurla
150,b,-73691.8448082227,3384138.26098525,-5010.0,gurla
150,c,-76730.9636340844,3381235.4219344864,-10005.0,gurla
150,m,-76064.69513269456,3383360.8462083857,-8359.666666666666,gurla
151,a,-83632.8043878656,3382364.716260667,-20418.0,gurla
151,b,-81095.1477790702,3385668.7311560963,-15123.0,gurla
151,c,-80346.5236011337,3382259.811803279,-15057.0,gurla
151,m,-81691.49192268983,3383431.086406681,-16866.0,gurla
152,a,-67556.2113617908,3380815.4386058054,-805.0,gurla
152,b,-60271.2831317143,3382814.3237977745,4577.0,gurla
152,c,-60477.5347570256,3380782.5342435366,4619.0,gurla
152,m,-62768.34308351023,3381470.765549039,2797.0,gurla
153,a,-73691.8448082227,3384138.26098525,-5010.0,gurla
153,b,-68065.3703668007,3383643.6123005194,-725.0,gurla
